@label,        latitude,  longitude
Alabama,       32.380120, -86.300629
Alaska,        58.299740, -134.406794
Arizona,       33.448260, -112.075774
Arkansas,      34.748655, -92.274494
California,    38.579065, -121.491014
Colorado,      39.740010, -104.992259
Connecticut,   41.763325, -72.674069
Delaware,      39.158035, -75.524734
Florida,       30.439775, -84.280649
Georgia,       33.748315, -84.391109
Hawaii,        21.304770, -157.857614
Idaho,         43.606980, -116.193409
Illinois,      39.801055, -89.643604
Indiana,       39.766910, -86.149964
Iowa,          41.589790, -93.615659
Kansas,        39.049285, -95.671184
Kentucky,      38.195070, -84.878694
Louisiana,     30.443345, -91.186994
Maine,         44.318036, -69.776218
Maryland,      38.976700, -76.489934
Massachusetts, 42.358635, -71.056699
Michigan,      42.731940, -84.552249
Minnesota,     44.943829, -93.093326
Mississippi,   32.298690, -90.180489
Missouri,      38.577515, -92.177839
Montana,       46.589760, -112.021202
Nebraska,      40.813620, -96.707739
Nevada,        39.164885, -119.766999
New Hampshire, 43.207250, -71.536604
New Jersey,    40.217875, -74.759404
New Mexico,    35.691543, -105.937406
New York,      42.651445, -73.755254
North Carolina,35.785510, -78.642669
North Dakota,  46.805372, -100.779334
Ohio,          39.961960, -83.002984
Oklahoma,      35.472015, -97.520354
Oregon,        44.933260, -123.043814
Pennsylvania,  40.259865, -76.882230
Rhode Island,  41.823875, -71.411994
South Carolina,33.998550, -81.045249
South Dakota,  44.368924, -100.350158
Tennessee,     36.167783, -86.778365
Texas,         30.267605, -97.742984
Utah,          40.759505, -111.888229
Vermont,       44.260299, -72.576264
Virginia,      37.540700, -77.433654
Washington,    47.039231, -122.891366
West Virginia, 38.350195, -81.638989
Wisconsin,     43.072950, -89.386694
Wyoming,       41.134815, -104.821544

