@letter,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16
J,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
E,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
L,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9
N,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5
U,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6
Z,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7
I,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8
H,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8
H,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6
V,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8
Q,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8
P,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9
D,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8
S,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8
S,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8
L,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7
P,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7
Q,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9
S,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8
T,2,3,4,4,1,8,14,1,6,6,11,8,0,8,0,8
V,5,8,5,6,3,4,11,2,3,8,10,7,3,12,1,7
L,4,8,4,6,1,0,0,6,6,0,1,4,0,8,0,8
U,9,15,8,8,5,5,5,4,4,7,8,10,7,5,3,9
K,6,9,9,6,6,5,7,1,7,10,8,10,3,8,4,7
W,7,9,10,8,11,6,6,6,5,5,5,8,11,11,9,12
Z,5,10,7,8,5,7,8,2,9,12,7,8,1,9,6,7
Y,9,9,8,13,5,9,10,2,4,5,11,5,4,10,7,8
E,7,12,5,6,4,8,7,4,4,11,5,9,3,9,8,11
U,6,9,6,5,3,7,5,5,5,7,8,8,5,7,2,8
B,2,3,2,2,2,7,7,5,5,6,6,5,2,8,6,8
H,5,10,8,8,7,7,8,7,7,7,5,9,3,8,3,8
V,8,11,7,8,5,4,11,1,3,8,10,8,5,12,1,7
P,5,11,8,8,6,7,11,7,3,10,5,3,3,11,4,8
I,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
R,3,8,4,6,2,5,11,8,4,7,4,9,3,7,6,11
A,3,5,5,5,4,9,8,3,4,6,8,7,4,10,4,5
E,6,11,9,9,7,6,8,2,8,10,7,9,3,8,5,7
L,4,9,5,7,1,0,0,6,6,0,1,5,0,8,0,8
Z,9,11,6,15,6,5,11,3,3,12,8,6,3,9,11,5
J,1,5,2,3,1,10,6,2,6,11,3,8,0,7,1,7
J,3,5,4,7,1,12,2,9,4,14,5,13,1,6,0,8
B,2,2,3,3,2,7,7,5,5,6,6,6,2,8,5,9
C,2,4,3,3,2,6,8,7,8,8,7,13,1,9,4,10
L,5,10,7,8,5,5,5,1,9,6,2,10,3,7,4,5
Y,4,10,6,7,1,6,10,3,2,8,13,8,1,11,0,8
P,4,8,6,12,10,8,9,5,0,8,6,7,5,11,6,6
S,6,10,7,8,4,6,8,4,8,11,8,7,2,8,5,5
S,2,6,3,4,3,7,6,7,5,7,7,8,2,9,8,7
Q,2,3,3,3,2,8,7,6,3,6,6,9,2,8,5,9
O,4,6,6,5,4,6,6,5,5,8,4,8,3,7,5,6
O,2,4,3,2,1,8,7,7,5,7,6,8,2,8,3,8
P,3,3,5,2,2,7,10,3,4,12,4,3,1,9,3,8
D,3,6,3,4,3,5,7,8,6,7,7,6,2,8,3,8
I,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8
F,6,7,8,8,8,7,9,4,5,7,7,6,5,9,9,9
M,1,0,2,0,1,7,6,9,0,7,8,8,5,6,0,8
A,3,3,5,4,1,8,6,3,1,7,1,8,2,7,1,8
G,1,0,2,0,1,8,6,5,5,6,5,9,1,8,5,10
I,7,12,5,6,2,10,5,6,4,13,3,8,3,8,5,10
R,3,9,4,6,4,6,8,8,4,7,5,8,2,7,5,11
V,4,9,6,7,2,7,8,4,3,7,14,8,3,9,0,8
