name,freq,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,f045,f046,f047,f048,f049,f050,f051,f052,f053,f054,f055,f056,f057,f058,f059,f060,f061,f062,f063,f064,f065,f066,f067,f068,f069,f070,f071,f072,f073,f074,f075,f076,f077,f078,f079,f080,f081,f082,f083,f084,f085,f086,f087,f088,f089,f090,f091,f092,f093,f094,f095,f096,f097,f098,f099,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128
George_W_Bush,530,-0.0374036916,0.165839836,0.0184910893,-0.0289356504,-0.1308810562,0.095925577,-0.0672012493,-0.0994919315,0.0526932478,0.0823339373,0.1931343973,-0.0640731305,-0.2850637734,-0.0750303492,-0.0563928634,0.1239596084,-0.0650284588,-0.088233158,-0.1962548792,-0.0855400637,-0.0931559801,0.0055951322,0.114804171,-0.030894585,-0.1282468885,-0.316735357,-0.0128577491,-0.1016138643,0.1177785248,-0.1029945314,-0.0420647673,0.0545163192,-0.2660804391,-0.0955809504,0.0282676257,0.0698720515,-0.0841890574,-0.0315422043,0.2613555789,-0.0201922245,-0.1293385029,0.078146629,0.1317787766,0.2105027139,0.188472718,0.0366197899,0.0383962169,0.0048656417,0.1001085863,-0.2378596663,0.0891954005,0.1627352089,0.1347840577,0.0662341118,0.1049676314,-0.1191111058,0.0001751529,0.166261375,-0.1169721261,0.088709332,0.0097313803,-0.0059666298,-0.0929921195,-0.0870593041,0.1670141518,0.0648253709,-0.0051451256,-0.1737427264,0.1780674458,-0.0959941149,-0.0210461393,0.0944715291,-0.0666317269,-0.106334582,-0.269995749,0.0799911842,0.293515712,0.1221541837,-0.2344396859,0.0485963598,-0.0402211957,-0.0921210125,-0.0130607942,-0.0772089362,-0.0665967911,-0.0474526659,-0.1011783034,-0.052436512,0.2626561522,-0.0887096077,0.0379592516,0.2082071453,0.0547041446,-0.014942525,0.0320652276,0.0135215605,-0.1360809803,-0.045388326,-0.1809850782,-0.0322220363,0.0671606511,-0.13662754,-0.0265548173,0.0512800589,-0.2151108086,0.0944182575,0.0022002275,-0.048902601,0.0167227127,0.0262931492,-0.0898316652,-0.0667746887,0.2384496033,-0.2591212988,0.2625792921,0.191496253,-0.0300862715,0.0371433385,0.1530143172,0.0733081177,0.0605057403,0.0901604891,-0.0862585157,-0.2215586454,0.0631769001,-0.0835407674,-0.0732108951,0.0945371091
Colin_Powell,236,-0.0224108659,0.060574811,0.070461899,0.0624326393,-0.0294691343,-0.01547084,0.0394690633,-0.1357578486,0.1367897987,-0.0072693368,0.3191766739,-0.0835035071,-0.2632436752,-0.1645238101,-0.041957885,0.1275642961,-0.0884440541,-0.0540346205,-0.107232146,-0.0506584123,0.06227066,0.0461462289,0.1372407377,-0.0441008918,-0.1426270008,-0.3644515574,-0.0802431479,-0.1515590847,0.0608221218,-0.1180925667,-0.0046432074,0.1486802399,-0.1284998208,-0.0446357802,-0.0139733478,0.0201321766,-0.0288768485,-0.0684056729,0.2583678663,-0.0057201437,-0.1493525952,0.0145785501,-0.0532109737,0.2240895778,0.2394679189,-0.0128046218,0.0318598598,-0.0968172997,0.0516673177,-0.2505667806,-0.0024673697,0.1555067599,-0.0090388432,0.0761072785,0.0480519347,-0.0172824748,-0.0072380397,0.0727440268,-0.2071060985,-0.0172309056,0.0253114477,-0.1107195243,-0.0378612801,-0.0385152027,0.0990509763,0.0737205967,-0.0474236459,-0.0429501832,0.136924997,-0.1883322299,-0.0446061753,0.0677132234,-0.1395985931,-0.168647483,-0.295409888,0.020325914,0.3897825181,0.0853487849,-0.1572067142,0.0249195062,-0.0367877334,-0.0194163974,0.1075213104,0.0079886448,-0.039709866,-0.05901853,-0.086468488,0.0556680299,0.1887143552,-0.0966222212,-0.0269701518,0.262920469,-0.0403818563,0.0362210348,0.083614938,0.0682797283,0.0456849113,0.013741577,-0.0587847382,0.0607320033,0.1154363826,-0.1301518381,0.0411921218,0.0390378088,-0.1666548848,0.1084704474,-0.0185459312,-0.0049039694,0.0920714587,-0.1124307811,-0.0483080894,0.0336724706,0.2062708437,-0.24109523,0.2229000777,0.1694043279,-0.046582967,0.1165588498,0.0005697934,0.0958032608,-0.0890390351,-0.0525301881,-0.1406509429,-0.0773672834,0.0490357429,0.0506793782,-0.0049761012,-0.0054163989
Tony_Blair,144,-0.0297270734,0.0474827178,0.0812527463,0.0029279767,-0.052700527,0.0607683398,-0.0155345239,-0.0904290974,0.1294309795,-0.0444778427,0.3152650893,-0.085179545,-0.285504818,-0.0632662326,-0.0566823408,0.0650740862,-0.1414191872,-0.0191000383,-0.2016870081,-0.1731959432,0.0308821406,0.0541788042,0.0535970628,-0.0467800125,-0.2500551641,-0.2607228458,-0.040610671,-0.1226108223,0.0472756773,-0.1549638063,-0.0003153738,0.0260660015,-0.2282527387,-0.0665344372,-0.0198096372,0.0075063352,-0.0554391071,-0.0757479891,0.2039765567,0.0213390179,-0.1604615152,-0.0013057701,0.0262249336,0.2391858399,0.2236051559,-0.0074492102,-0.0317132846,-0.1204706952,0.1978990883,-0.2300042212,0.0802718922,0.1823206544,0.0712560788,0.1012155786,0.1256621182,-0.1239787191,-0.0019064769,0.1717743427,-0.0956264436,-0.0041640303,0.0233154893,0.0087130759,-0.0119427647,-0.0763368383,0.0605994724,0.0396446884,-0.0600341447,-0.1329505295,0.1585635394,-0.0929894671,-0.0317074135,0.1576396674,-0.115794681,-0.1768651009,-0.3450635374,0.031549599,0.4552899599,0.0314784534,-0.2055636644,-0.0308247656,-0.0855024084,-0.078217566,0.1073626205,0.0053640995,-0.068690069,0.0059856456,-0.0542923585,0.0611726455,0.2303619832,-0.0585986041,-0.0421303064,0.2108965218,-0.0036478098,-0.066933006,0.1092209816,0.0916968286,-0.140255481,0.0140195135,-0.1278563589,0.0120620644,0.0990938246,-0.1479435414,-0.0391593724,0.0502444319,-0.2352418751,0.2111460567,0.0631504208,-0.047587432,0.0132563654,-0.1178321093,-0.0867456198,0.0754315332,0.2440270036,-0.3295056224,0.1737767458,0.1364252567,0.020971287,0.1409539133,0.047126025,0.0561516844,-0.073759757,0.021514561,-0.1596633643,-0.1326012015,0.000597883,-0.0110474303,-0.0163124651,-0.0086580897
Donald_Rumsfeld,121,-0.0503250659,0.1039442793,-0.0117436927,-0.0965997502,-0.0889495015,-0.0575127304,-0.0096804835,-0.1258454025,0.1185005531,-0.0346031561,0.2333841473,-0.0611707568,-0.293923229,-0.0176088847,-0.0063670143,0.1114223525,-0.2361197323,-0.1097175404,-0.1691883653,-0.0668160915,-0.0798893943,-0.0087910378,0.0580999963,-0.0079797795,-0.0888521671,-0.292231679,-0.1237905994,-0.0801821426,0.2015101463,-0.1511747837,-0.0633498207,0.0372657254,-0.23636657,-0.1435268968,0.05571457,0.0674163252,-0.080668889,-0.0525490642,0.2283531427,0.0664308742,-0.0789489821,0.036098022,0.0482045636,0.2364618033,0.2271418124,0.0149489259,0.036718186,-0.1494242102,0.0347346514,-0.3081735373,0.1213977858,0.1375254989,0.0894433483,0.1829940975,0.0696060583,-0.1539687216,0.0270007364,0.122639358,-0.1323821396,0.1441335827,0.1624145806,-0.092290096,-0.0898524597,-0.0238114074,0.1630810201,0.065198943,-0.0799658522,-0.1814606488,0.1352257282,-0.1412565261,-0.0767940432,0.0619059391,-0.0170242805,-0.080218859,-0.2973462641,0.0767527968,0.2966984808,0.1214264184,-0.1695788503,0.0083318232,-0.0890260488,-0.1207640171,0.01505489,0.011775136,-0.0965178087,-0.0697052553,-0.0818707123,0.094049558,0.1723201722,-0.0585553646,0.0529966056,0.1926516891,-0.0256696921,0.0821167901,0.0667746663,0.1451269239,-0.145186007,-0.0467071161,-0.0982625857,0.0028014625,0.1350523084,-0.136764586,-0.0293937773,0.1230724156,-0.1275669783,0.1677631289,-0.0497015901,-0.0944603831,0.0175894257,-0.0958152264,-0.000895869,-0.0140303206,0.1865053475,-0.2787290812,0.2956031263,0.2584446669,-0.0285703894,0.0413319282,0.0353020169,0.0480124541,0.0030805189,0.0293221734,-0.1483422667,-0.107143946,-0.0334258601,-0.01117789,-0.0819975585,0.0224822573
Gerhard_Schroeder,109,-0.1209904552,0.0281035416,0.0371383764,0.0667666122,-0.0544874258,-0.0422913767,0.046115905,-0.1110607013,0.0354325138,0.0416010357,0.1883689165,-0.1144558787,-0.2370245308,-0.0679535642,-0.055403024,0.0996635109,-0.1267878711,-0.0582369789,-0.1286285669,-0.1237806976,-0.0268827341,-0.009952439,-0.0023300168,-0.0157390758,-0.1131638587,-0.1879625171,-0.0551753938,-0.0522890389,0.1063357592,-0.1238630265,-0.0157130212,0.0707376823,-0.2872709334,-0.169882223,0.1020143181,0.1041999236,0.0130549232,-0.0666173697,0.2011144459,0.0085914768,-0.0987756997,-0.0207047127,0.0917839259,0.2875812352,0.2031988651,0.0355823487,-0.1433562636,-0.0004183361,0.1789599955,-0.3016778529,0.112511538,0.0973321497,0.1923222691,0.0530760288,0.0768458322,-0.1495829076,0.0330099985,0.1317319572,-0.1467657238,0.0799687654,0.0535353646,-0.1248357669,-0.0010668943,-0.0804134905,0.0555609316,0.0578434356,-0.0137360794,-0.1037564203,0.2039491385,-0.0990370065,0.03061915,0.0600712486,-0.0200556368,-0.1333788037,-0.332146287,0.0448863357,0.3542045951,0.1437003911,-0.2304958701,-0.0360875092,-0.030206576,-0.0207571201,0.0777542591,-0.0001360642,-0.0246235952,-0.0395940691,-0.0850759447,-0.0182401408,0.2025963366,-0.0116248587,-0.0714386031,0.1800282449,-0.0672871992,-0.0460592918,0.0705023035,-0.0087170489,-0.0941057131,-0.0498874336,-0.1467787474,-0.0383711383,0.0689126328,-0.148605898,0.0119355097,0.1598805189,-0.2100915611,0.0903853774,-0.0026419554,-0.0209412687,-0.0022691838,-0.0879197046,-0.075936079,0.0714434162,0.1691614985,-0.2666780949,0.2592377067,0.1552128047,-0.087113969,0.0864290744,0.0238663964,0.0305229351,0.0411776379,0.007420578,-0.1032702625,-0.1887327135,0.0087301377,-0.0495404489,-0.0006435737,0.0366257802
Ariel_Sharon,77,-0.0391670763,0.0252176411,-0.0261637941,0.0608115755,-0.0832850412,-0.0573538095,-0.0136143528,-0.1462898105,0.142404899,-0.0888423771,0.1876196861,-0.0234087743,-0.2133178562,-0.0758818313,-0.0535251945,0.1458984166,-0.1293444037,-0.1541123092,-0.0989932418,-0.1048536301,-0.1050628871,0.0064536748,0.0268804282,-0.0136293676,-0.0743526071,-0.3305006325,-0.1105064601,-0.0710981339,0.079302296,-0.1057084948,0.0446986854,0.0301127601,-0.1808083355,-0.0815092325,0.0621183142,0.1018353403,0.0148024261,0.0399620533,0.239197433,0.0350813344,-0.0935144573,0.0785671026,0.0409548692,0.3010389805,0.1492135972,0.060377419,0.038187325,-0.0769570246,0.1250575334,-0.2167517245,0.0127376253,0.083918564,0.1671490073,0.0554279611,0.0510381982,-0.093050532,0.0017260211,0.1551306695,-0.2077026218,0.1194174364,0.0772868097,-0.0857955962,-0.0004501995,0.0623809956,0.2365515828,0.0251127426,-0.0671867877,-0.1208501458,0.2324866205,-0.1849120855,-0.0243104473,0.0057086395,-0.0068658651,-0.1177489907,-0.3214740157,0.0728846788,0.3855051398,0.0695803016,-0.1508526504,0.0107039865,-0.0504412949,-0.0339431316,-0.0117191179,-0.017132828,-0.0821064711,-0.1010682732,-0.1566483378,0.0043164948,0.2264573127,-0.0057453951,0.0214732084,0.1143541187,-0.0093434583,0.0345920734,0.0331273936,0.1087535396,-0.1704559624,-0.0075687445,-0.0910316333,0.002575356,0.0292282812,-0.0896339417,0.0785011649,0.1007339582,-0.1419862062,0.1817105711,-0.099701941,-0.0991668776,-0.0358678773,0.0863235965,-0.0247542262,-0.0194247812,0.1589385271,-0.273522526,0.2676018775,0.1873545051,-0.0456233732,0.1327305287,-0.0361455604,0.0767972544,-0.0531585105,0.0349053927,-0.1122096479,-0.1868549436,-0.1094375774,-0.0433781147,0.0204993133,0.0803098828
Hugo_Chavez,71,-0.1834129691,0.1561395675,0.0707528666,0.0569819286,-0.1280412525,-0.0047607431,-0.0593910515,-0.189322874,0.1087533906,-0.0742529109,0.2911605537,-0.0448528901,-0.2103688568,-0.0808803588,-0.0556342192,0.1382755786,-0.1615416557,-0.1371862739,-0.1021447256,-0.0017034784,0.0171438772,-0.0044171126,-0.0317820869,0.0121256486,-0.0209561698,-0.3656423688,-0.0673324615,-0.0250636321,0.1044185162,-0.0456480905,-0.0251252316,0.0106981583,-0.1557213664,-0.0726702809,0.0024262089,0.0721150562,0.0081225419,0.0043707844,0.1294317395,-0.0873607546,-0.1571358591,0.0175837483,0.0716173053,0.254039377,0.1927919984,0.0452845991,0.0290983021,-0.0683335811,0.0698471665,-0.2856061459,-0.0141682532,0.1262408644,0.1884659976,0.0200629719,0.1580606699,-0.1496086121,-0.0525035262,0.166714251,-0.1057735011,0.124173604,0.0677588135,-0.0559867993,0.0363543741,-0.0944318995,0.2302111834,0.0815748051,-0.085089758,-0.0808580145,0.1532492638,-0.1202490702,-0.0643219277,0.0048980201,-0.0347969644,-0.2142182589,-0.3032973111,0.0421123207,0.3853843212,0.1562340409,-0.2194512933,0.0444994718,-0.0101243276,-0.0061718281,0.0717412159,-0.0121214995,-0.0855221748,-0.0721918643,-0.1574580967,-0.0342107341,0.2229087651,0.0095268376,0.0754347742,0.2378145456,-0.0332836509,-0.0147067606,0.0254283082,0.0411978289,-0.0510498174,0.0099887438,-0.1103330851,0.0367235467,0.0021487894,-0.1244842708,0.0503439829,0.028245911,-0.1567461938,0.0573981889,-0.0474237874,0.0654947013,0.0018140278,-0.0122534204,-0.0736586303,0.0444883145,0.1836446971,-0.2794087529,0.2529999614,0.1616387665,-0.0309546981,0.1529015005,0.062047109,0.0605462492,0.0148764914,-0.0230677575,-0.072838068,-0.1263801157,0.0094100889,-0.14877446,-0.014884769,0.0770250931
Junichiro_Koizumi,60,-0.0126294512,0.1438868791,0.0287563689,0.019438969,-0.0912456065,0.0295572486,-0.053342957,-0.1519415379,0.0856784582,-0.0305229463,0.2996988893,-0.0431121401,-0.1601686329,-0.0909553766,-0.0305929109,0.169845894,-0.1621079445,-0.0411820635,-0.0900775492,-0.0621334761,-0.004665684,0.0675599054,0.0661176592,-0.0142254606,-0.0523442738,-0.3141408861,-0.0738269463,-0.1630201638,0.1383970529,-0.0677893758,-0.0601876937,-0.0345317759,-0.1421527267,-0.1051148847,0.1206362769,-0.0305046886,-0.0616555065,-0.0014080945,0.2157588601,-0.0134430453,-0.184890613,0.0696041286,0.0400163457,0.2743258774,0.2204494625,0.053364899,0.063441053,-0.1774836481,0.1115688756,-0.0960999206,0.0519957319,0.1482653022,0.1420527399,0.0716605783,0.0156603977,-0.0919443071,0.0032297801,0.0832563564,-0.1586844623,0.0477768146,0.1636259109,-0.0458971411,-0.0072235777,-0.034547627,0.1830967963,-0.0409699194,-0.135657087,-0.1998634338,0.0555693395,-0.1382244378,-0.0579917431,0.0790978074,-0.1421013922,-0.192958355,-0.3202134371,0.0162120871,0.4181545079,0.1316717416,-0.2108484358,0.0263215303,-0.0827381462,-0.0310533885,0.1049933434,0.1523308456,0.0143614244,-0.0136802886,-0.0395209938,-0.0139582707,0.1529607028,-0.1402381808,-0.0283697974,0.1850580424,-0.0632559583,0.0257290918,-0.0147563331,0.1183386818,-0.1364850998,0.0297066774,-0.0400200635,-0.0510368794,0.0020635985,-0.0371052735,0.0783506036,0.0930337533,-0.2138269097,0.234700188,-0.0577700846,0.0494760498,0.0216206927,-0.0426124148,0.001973304,-0.0092431735,0.1836222261,-0.2544515729,0.2356507182,0.1951731592,0.0162199717,0.1138624921,0.0816993117,0.0690214559,-0.0326405019,0.0155441063,-0.1874526441,-0.1005816385,-0.0232735947,-0.0424434133,0.0855261236,-0.0187621936
Junichiro_Koizumi,60,-0.0561495535,0.0437468365,0.0536026284,-0.0113075385,-0.0374366567,-0.0853459314,-0.0105370786,-0.0406955481,0.1041264534,-0.0444506966,0.236264661,-0.0289302208,-0.2273700684,-0.0176739376,-0.0168937296,0.1065473631,-0.171710223,-0.0295313466,-0.1218770668,-0.148794055,0.073752813,-0.001927397,0.0671745241,-0.0239960589,-0.1875804663,-0.285797745,-0.1386512667,-0.1350139081,0.087415874,-0.0289407875,0.0614248291,0.0428324714,-0.1613171101,-0.0393737741,0.0372098386,0.0176901463,-0.0270011723,-0.0426979773,0.2382042408,0.0383006819,-0.131569013,0.0737987757,0.0217052363,0.273966223,0.2053940594,0.0505265556,0.0283267852,-0.0777896345,0.0416507348,-0.2701839805,0.0708458051,0.1561387926,0.0698332489,0.0870382413,0.0750356615,-0.1298245639,0.063660495,0.1078129485,-0.2094581872,0.0342891589,0.07020358,-0.0968725681,-0.0536919832,-0.0426660627,0.134732753,0.1158268601,-0.0861731619,-0.088079676,0.1870886683,-0.139652729,0.0054280148,0.0394295081,-0.1430869848,-0.1656095833,-0.2891579568,0.0971896201,0.4506527483,0.1755486876,-0.1238823757,0.0309080333,-0.0859110877,0.0124154296,0.0701344535,-0.0161069632,-0.1488256454,-0.0754029825,-0.0516130812,0.1134849712,0.1244489923,-0.0881335735,-0.0220438689,0.1653573513,-0.0101400018,0.0136827463,0.0397901013,0.0070316484,-0.1155962572,-0.017209515,-0.1255250722,0.0074807452,0.0921231955,-0.1527331322,0.0612301752,0.0992906019,-0.2116076946,0.1109150723,-0.0093600824,-0.1432034075,-0.0004479485,0.0523438081,-0.1036511958,0.0078358632,0.1825732887,-0.2116079181,0.2463025302,0.2549417615,0.0043058395,0.1471198648,0.097784467,0.0927227587,-0.0646943599,0.0087899761,-0.1466198564,-0.0658851713,0.0051621101,0.0475946218,0.0321320556,0.0076685627
Jean_Chretien,55,-0.0809963793,0.06392923,0.0077715414,-0.0036439789,-0.1700634062,-0.0641917586,0.0196977146,-0.109599553,0.0871552229,-0.0385641791,0.1547086388,0.0046044192,-0.2465717494,-0.0699568093,0.0018109493,0.1192002967,-0.049412515,-0.1601274759,-0.172379896,-0.1010031998,-0.0654367357,-0.0611929968,-0.0551241525,-0.0345553868,-0.04235439,-0.1892959028,-0.0498845726,-0.0635706633,0.1114547849,-0.0332907066,0.080970332,0.0383877642,-0.2013715655,-0.1318247467,0.0540979952,0.0446836352,-0.0689370409,-0.0803803578,0.2640677989,-0.0872270092,-0.1611211598,0.0339962393,0.0819624737,0.2606879175,0.1862814426,-0.059275955,0.0328274071,-0.0232232362,0.1537083983,-0.2683501542,0.0618973263,0.0937838033,0.1928533912,0.0758899972,0.0462845713,-0.1655430496,0.0654336065,0.1974273473,-0.2404045463,0.1208012998,0.0907361805,-0.1971886605,-0.1307527125,-0.071750991,0.1625025272,0.1028076485,-0.0357533693,-0.1737607569,0.2865363956,-0.113205336,-0.0052932687,0.0452149287,-0.1000826955,-0.0912660286,-0.2865543962,0.0795476958,0.3973363042,0.1635036916,-0.1537708789,0.003171552,-0.0593691282,0.0210928135,-0.0402801968,-0.032056164,-0.0578512028,-0.1627047509,-0.0960989445,0.0438565947,0.1887688339,-0.0499808826,-0.0163694061,0.1204897389,0.0538049899,-0.0826546028,-0.0144072194,0.0228510536,-0.0935390368,-0.0503905192,-0.1204797998,-0.0218148232,0.101107873,-0.1717718393,0.1081550866,0.1340680271,-0.1687303782,0.1471839845,-0.0244842768,0.0205666274,0.0086138081,0.0008493849,0.0007018009,0.028390009,0.1676997244,-0.1523141861,0.3220124841,0.1381033957,0.0101536354,0.0836891681,0.0284459926,0.0581140667,0.0120631056,-0.0262397695,-0.1484091133,-0.1643190384,-0.0461354405,0.0044039981,0.044852905,0.1405964345
