filename,姓名,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,f045,f046,f047,f048,f049,f050,f051,f052,f053,f054,f055,f056,f057,f058,f059,f060,f061,f062,f063,f064,f065,f066,f067,f068,f069,f070,f071,f072,f073,f074,f075,f076,f077,f078,f079,f080,f081,f082,f083,f084,f085,f086,f087,f088,f089,f090,f091,f092,f093,f094,f095,f096,f097,f098,f099,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128
gtm,郭台銘,-0.0314665175974,0.04389597103,0.105167366564,0.0363497845829,-0.0443183891475,-0.00834872107953,-0.0795117616653,-0.138032704592,0.142309084535,-0.0309746395797,0.218035951257,-0.00486466148868,-0.081574395299,-0.105428762734,-0.0698156729341,0.159666374326,-0.192760899663,-0.141736701131,-0.0366032496095,-0.0189548898488,0.0939366519451,0.0332511812449,0.0294951405376,-0.0335333906114,-0.16201813519,-0.340499579906,-0.0653928890824,-0.065674982965,0.101712331176,-0.0081901429221,-0.103474989533,0.102576471865,-0.236810773611,-0.0414761081338,0.0444410182536,0.117340527475,-0.0279559660703,-0.0695343986154,0.138234347105,-0.0168892331421,-0.244422197342,0.109294518828,0.0221239905804,0.181705087423,0.260911166668,-0.049035448581,0.0561430566013,-0.106074467301,0.104585669935,-0.110311463475,0.00124651193619,0.196286141872,0.100857414305,0.109193496406,-0.0328380800784,-0.102408953011,-0.0192916691303,0.0986456498504,-0.0868440717459,0.0170216821134,0.106942676008,-0.108293302357,0.0223503485322,-0.0488913692534,0.0773471593857,0.0585022307932,-0.0568159483373,-0.260133981705,0.0926140770316,-0.128522202373,-0.0577290393412,0.0528141632676,-0.165102913976,-0.149363055825,-0.298243910074,-0.00171763077378,0.366108000278,0.0296269264072,-0.202238753438,0.0927203893661,-0.0644325911999,0.0340392328799,0.107929632068,0.109724313021,0.0224292967469,0.0536848120391,-0.11975710839,-0.00877144467086,0.238014087081,-0.052075996995,-0.0210235416889,0.165554001927,-0.0439849644899,0.0448290072381,0.0478204265237,0.07370236516,-0.0534490272403,0.10280688107,-0.0993861109018,0.00435479916632,-0.02135441266,-0.0355407036841,0.0208224579692,0.0969581082463,-0.0918646678329,0.158780097961,-0.0181524511427,0.127467751503,0.0555373169482,-0.0145146232098,-0.0634739995003,-0.0513696558774,0.120972648263,-0.206317171454,0.22857709229,0.154782906175,0.0314084365964,0.116507276893,0.111103162169,0.135634407401,-0.0564419254661,0.0286491923034,-0.190255194902,-0.0126951923594,0.00448114378378,-0.0104237766936,0.0206801407039,0.0355205312371
hm,荒木,-0.0257364623249,0.0817092955112,0.105916842818,-0.0899433940649,-0.166958004236,0.0286714583635,-0.0489360466599,-0.0891649276018,0.0959836468101,-0.106781542301,0.169814586639,0.0152515089139,-0.195209413767,-0.0634052604437,-0.00925190001726,0.185630768538,-0.118794135749,-0.138385117054,-0.117158688605,-0.0465532541275,0.0089257908985,0.131517022848,0.0288507360965,-0.0204496067017,-0.0504929050803,-0.32652887702,-0.0656233727932,-0.0696889162064,0.0843580663204,0.0211524162441,-0.0608715862036,-0.00554503127933,-0.178565755486,-0.0432200729847,0.0859172195196,0.0474617443979,-0.0148229859769,-0.0267326273024,0.160141572356,-0.00304502714425,-0.241924971342,0.0878690704703,0.0946117043495,0.187657535076,0.186790943146,0.0707139372826,0.0684388875961,-0.154222249985,0.0981643795967,-0.0986593738198,0.0658361017704,0.106270924211,0.142627835274,0.0174748692662,0.0237465538085,-0.163743034005,0.054072316736,0.141914129257,-0.171779185534,0.0504994057119,0.107378304005,-0.0663839504123,-0.0762031674385,-0.017231175676,0.215272337198,0.0114522268996,-0.0872603803873,-0.267507255077,0.1395573318,-0.169499129057,-0.124858297408,0.0438961423934,-0.142456442118,-0.0739868655801,-0.296890944242,-0.0220438335091,0.374503463507,0.119631543756,-0.270121783018,0.0767226740718,-0.0307988394052,0.0442236512899,0.128285929561,0.130785614252,-0.0785587877035,0.0226934608072,-0.111644662917,-0.0440252050757,0.196399331093,-0.0592802762985,-0.000835669226944,0.220005065203,0.0734537392855,0.0624886192381,0.0299868136644,0.00705526862293,-0.0998166128993,0.00714409444481,-0.146534204483,-0.0928510278463,0.0605883523822,-0.0134137505665,0.0366626977921,0.140083998442,-0.21554993093,0.203729107976,-0.0701323673129,0.0361708626151,0.033513892442,0.0136780841276,-0.0274560824037,-0.0593414790928,0.160193398595,-0.166321650147,0.167385533452,0.198813617229,0.0344634391367,0.0924801155925,0.17497497797,0.0856616124511,-0.00442449841648,0.0164187662303,-0.256901621819,-0.0731908604503,0.0817619115114,-0.121471136808,0.135656654835,0.0794088318944
htn,波多野,-0.0568374097347,0.0638410001993,0.0703437924385,-0.0635410472751,-0.135717213154,0.00090274354443,-0.141992971301,-0.0674403831363,0.0711040347815,-0.162731736898,0.236434862018,-0.122675269842,-0.308575123549,-0.00488909706473,-0.083510838449,0.251800626516,-0.183520704508,-0.152764350176,-0.0618144758046,0.058704148978,0.0606414973736,0.108771465719,-0.0446099638939,0.0168285947293,-0.13977868855,-0.389635115862,-0.051656562835,-0.0137629434466,-0.0971376746893,-0.0845712944865,-0.00690036546439,0.0508695095778,-0.168010488153,0.0666312277317,0.0735367238522,0.132139787078,0.0139336120337,-0.116569422185,0.0927352756262,0.0443379282951,-0.311064362526,0.00875328108668,0.0770341902971,0.233043551445,0.190264299512,-0.0530988946557,0.0157001316547,-0.143283545971,0.0732211247087,-0.280335098505,-0.00680711679161,0.113422870636,0.0189596228302,0.0820694863796,0.0139497090131,-0.167204663157,0.0400379113853,0.132748216391,-0.144833639264,-0.0432006493211,0.133301138878,-0.0611267611384,0.0011619431898,-0.0592620708048,0.173117831349,0.00912989489734,-0.159291371703,-0.239347413182,0.125836282969,-0.179031327367,-0.0374713651836,0.10589363426,-0.105885699391,-0.212888896465,-0.311766833067,0.00905696861446,0.303114533424,0.117288425565,-0.204664856195,0.0464682020247,-0.0149968704209,0.0287092030048,0.0734657794237,0.124444872141,0.112045988441,0.023973012343,-0.158934444189,0.0304009951651,0.257486730814,-0.0963303521276,0.058567084372,0.290932059288,0.0044373748824,-0.0242564678192,0.0578689575195,0.103648580611,-0.111221380532,0.0123492488638,-0.130255416036,0.0167117826641,-0.00413740891963,-0.0258578844368,-0.0421367436647,0.120394356549,-0.112647876143,0.177195087075,-0.0534401163459,-0.0129609433934,0.0139630697668,-0.0506923235953,-0.0640803053975,-0.0792649835348,0.151808932424,-0.227451473475,0.112383283675,0.147588461637,0.124831311405,0.117948591709,0.102607339621,0.0905707627535,-0.038223862648,-0.0581587105989,-0.232660502195,-0.0615064390004,-0.00954496860504,-0.0432800799608,-0.0262799970806,-0.0110970232636
jjx,鐘嘉欣,-0.0550367757678,0.0870705544949,0.042966671288,-0.0670670196414,-0.12969468534,-0.0352379493415,-0.092817120254,-0.136982679367,0.11997435987,-0.124318160117,0.194465354085,-0.109522387385,-0.195447131991,-0.0251053795218,-0.0681168809533,0.211141854525,-0.137207359076,-0.139629304409,-0.0375221557915,-0.00499502336606,0.0464531593025,0.0612052753568,0.0163608249277,0.0971895903349,-0.138335227966,-0.309386432171,-0.0471059717238,-0.0319816954434,0.0111131519079,-0.0421513617039,-0.0705107226968,0.0857678130269,-0.21652109921,-0.0152588468045,0.0668174177408,0.177341431379,0.00512166274711,-0.038473661989,0.178812727332,-0.0170713961124,-0.306882947683,0.0697096437216,0.0802303254604,0.223215207458,0.149232029915,0.0126681737602,0.0218657758087,-0.200324892998,0.0900908410549,-0.161956936121,0.0487003177404,0.139599323273,0.0261403154582,0.0413486473262,-0.0349391773343,-0.134124279022,0.0334303043783,0.118913121521,-0.140048310161,-0.00383020052686,0.170254573226,-0.0534273758531,-0.0306173488498,-0.128582373261,0.206451117992,0.0487649589777,-0.116241104901,-0.22342684865,0.115218929946,-0.216028407216,-0.119908981025,0.11551758647,-0.0660399794579,-0.158482000232,-0.34239718318,-0.0280384197831,0.341780483723,0.162056624889,-0.222362026572,0.0878703817725,-0.0158127676696,0.0063308654353,0.144082322717,0.155452102423,0.0163347348571,0.10243935138,-0.0868209451437,0.0114209959283,0.272703915834,-0.0267522577196,0.0171664841473,0.250383764505,0.0531375706196,0.0865794792771,0.0276762228459,0.0584333539009,-0.0853115990758,0.0110124573112,-0.177638560534,-0.00551927788183,0.014815364033,0.0160237532109,0.00263198884204,0.135639876127,-0.202402740717,0.222834140062,-0.0346606783569,0.00693525234237,0.0325597636402,0.0423636063933,-0.0609908811748,-0.0611285790801,0.1678378582,-0.236026674509,0.151193961501,0.148558989167,0.108918271959,0.0939271599054,0.168537050486,0.105797968805,-0.0142781566828,-0.0397080741823,-0.26029586792,-0.0462776571512,0.0975568816066,-0.12825627625,0.124529093504,0.0505003966391
kzc1,郭子乾,-0.0293815359473,0.0880373418331,0.0878477320075,0.0303885042667,-0.0256846100092,0.0158309154212,-0.103541061282,-0.167535811663,0.0977124497294,-0.0401126556098,0.271959900856,-0.0269335787743,-0.150796324015,-0.150265201926,-0.0604157634079,0.177717059851,-0.129400923848,-0.138785496354,-0.0521570891142,-0.00240711309016,0.0784073174,-0.03881746158,0.0371373295784,0.0316090993583,-0.123432472348,-0.319784879684,-0.0482340231538,-0.0436964780092,0.0631317794323,-0.0658810436726,-0.0734630525112,0.0133541682735,-0.223216161132,-0.00377634167671,0.0211186241359,0.0677829161286,-0.0398059934378,-0.10032967478,0.208230048418,-0.0184038765728,-0.280133008957,0.0809372663498,0.0285489484668,0.198459982872,0.200073376298,-0.014243288897,0.062935218215,-0.122128210962,0.126986443996,-0.128012865782,0.0131111098453,0.230227530003,0.0833880603313,0.0392909944057,-0.0308017823845,-0.131750583649,-0.00932548101991,0.114274576306,-0.12942494452,0.0167226083577,0.0888728201389,-0.0374698825181,-0.0292038172483,-0.0786433666945,0.103165782988,0.107398241758,-0.120858155191,-0.266587525606,0.108139976859,-0.119697131217,-0.0481009073555,0.12168315798,-0.183731123805,-0.209477990866,-0.328544944525,0.00202373694628,0.443137288094,0.0692446231842,-0.207186043262,0.0299152843654,-0.0705778375268,0.0189242456108,0.116913028061,0.14166559279,0.0248203389347,0.0192580856383,-0.104343771935,-0.0102399811149,0.208376631141,-0.0177891664207,-0.0671182200313,0.157971814275,-0.0125463269651,0.0353706181049,-0.0312635153532,0.105026245117,-0.0647085905075,0.0997305065393,-0.101501747966,-0.00533521501347,-0.021325789392,0.0187232196331,0.0447453185916,0.117543466389,-0.127585798502,0.169126048684,0.0281053446233,0.0990232899785,0.0611353889108,0.0545848831534,-0.0906141251326,-0.0485758557916,0.0879955813289,-0.262115746737,0.215078935027,0.169334903359,0.0963980704546,0.047166172415,0.139670193195,0.118721991777,-0.00143622234464,-0.00205794721842,-0.210445553064,-0.0544407516718,-0.0229982119054,-0.035534620285,0.0603885948658,0.00630673207343
kzc2,郭子乾,-0.0242831557989,0.129763364792,0.0779068619013,-0.0048734578304,-0.0516071133316,0.0206885635853,-0.0714425072074,-0.131140395999,0.0896827578545,-0.052052911371,0.291625827551,0.00718189449981,-0.168218016624,-0.131392166018,-0.0301575791091,0.17266497016,-0.235584631562,-0.141283154488,-0.0589944757521,-0.0129263289273,0.0534301288426,-0.0174865461886,0.0155264744535,-0.0216841623187,-0.0864716991782,-0.339090526104,-0.0533959008753,-0.014369931072,0.102569170296,-0.0761728212237,-0.0802298337221,0.0160807743669,-0.218948483467,-0.0497580580413,0.035826690495,0.0731839835644,-0.0196546334773,-0.0363840609789,0.180879279971,-0.0253395810723,-0.234988331795,0.136127516627,0.0501899160445,0.240782514215,0.221268057823,0.0359775871038,0.0225431062281,-0.0868391990662,0.107019886374,-0.124823398888,-0.00403949245811,0.211334571242,0.0963837578893,0.0348540917039,-0.0331001058221,-0.100359991193,-0.0497145392001,0.133499443531,-0.0729004219174,-0.00606331136078,0.117548167706,-0.0618579648435,0.0179154984653,-0.0935543403029,0.146492272615,-0.00519494339824,-0.10955209285,-0.221828997135,0.0945118814707,-0.0910913422704,-0.0794774740934,0.070010766387,-0.16427385807,-0.154264181852,-0.279462695122,0.0301642343402,0.399083375931,0.0589578077197,-0.177233308554,0.0534813404083,-0.0641920268536,-0.0119137158617,0.109579525888,0.106697782874,0.0125444550067,0.037238843739,-0.116994321346,0.00678172521293,0.239840686321,-0.0171298608184,-0.0181543119252,0.172230452299,-0.0106707839295,0.0730686187744,-0.00278740609065,0.0348664559424,-0.0399046465755,0.0722405910492,-0.162600114942,-0.0121168233454,-0.0472672693431,-0.0251215472817,0.00345288659446,0.127741396427,-0.117125295103,0.131989851594,0.0165721271187,0.109595388174,0.0377834141254,0.0512425974011,-0.0619758069515,-0.0691696181893,0.10792633146,-0.257560193539,0.206804290414,0.229232639074,0.0817889869213,0.0262903049588,0.131755486131,0.0701993107796,-0.0110880341381,0.00793779082596,-0.23103903234,-0.0575680434704,0.0229972302914,-0.064649052918,0.0852236226201,0.00380199728534
kzc-gtm,郭台乾,-0.0768833234906,0.0808015838265,0.161344662309,0.00113746616989,-0.00910346116871,-0.0223504528403,-0.0515104420483,-0.197432041168,0.147296100855,-0.166077360511,0.331413716078,-0.00990639440715,-0.188144057989,-0.130558148026,-0.0119543727487,0.173279121518,-0.182581037283,-0.141872152686,-0.0768559277058,-0.0210070200264,0.0340716429055,-0.0364451818168,0.103772714734,-0.0876049622893,-0.114968255162,-0.338171482086,-0.146517723799,-0.06916898489,0.0985656008124,-0.0195697247982,-0.0716801956296,-0.0314137376845,-0.209450691938,-0.0489354655147,0.0111044244841,0.0406519286335,-0.0244515221566,-0.064421005547,0.206652969122,-0.0621808841825,-0.228307932615,0.0537323951721,0.0145125091076,0.212620049715,0.208619788289,-0.000412791210692,0.0565404519439,-0.131009399891,0.113371968269,-0.15309470892,0.0336574353278,0.143945723772,0.0659909322858,0.0769070833921,0.0237957052886,-0.086153447628,-0.00974013935775,0.135033130646,-0.047806493938,-0.000212594866753,0.135546088219,-0.0129122575745,-0.0287655536085,-0.0306705720723,0.181205108762,0.0678485631943,-0.147924169898,-0.228988707066,0.0818130150437,-0.0962912067771,-0.0543853268027,0.0581718608737,-0.228067293763,-0.128890126944,-0.330562204123,-0.0158449392766,0.419743031263,-0.0245487242937,-0.156583160162,0.0343450717628,-0.0997468903661,0.0278540886939,0.104903295636,0.128142818809,0.00542894005775,0.0462027527392,-0.0742683112621,0.0170723311603,0.239885136485,-0.100096434355,-0.0496395491064,0.164378836751,-0.0460955835879,0.0701189488173,-0.0164963565767,0.0725887790322,-0.0170036926866,0.0360955670476,-0.146061107516,0.0437887609005,0.00204223208129,0.0183871164918,-0.0305181834847,0.0995831862092,-0.159548938274,0.149053394794,0.0219872146845,0.0883329212666,0.0522596985102,-0.0244715102017,-0.0893912091851,-0.0266549028456,0.0954402014613,-0.267051994801,0.225696533918,0.241030007601,0.0443282835186,0.0479924604297,0.117406189442,0.0358104780316,-0.00360878463835,0.0746687650681,-0.211192086339,-0.0578174926341,0.00992875918746,-0.0169405546039,0.0321314893663,-0.0071047428064
kzc-sjc,蘇貞乾,-0.0313511490822,0.123817995191,0.114160045981,-0.0403106510639,0.0160232391208,0.00315886130556,-0.027780700475,-0.131793916225,0.127888947725,-0.06359821558,0.257946759462,-0.0138446316123,-0.181120157242,-0.105694532394,0.000189241487533,0.155496329069,-0.202340468764,-0.0693307369947,-0.134596690536,-0.0647001042962,0.0466544702649,0.0263046156615,0.113826170564,-0.0520337224007,-0.103070661426,-0.325998395681,-0.0659655630589,-0.0327988564968,0.108656592667,-0.0519768968225,-0.0377820730209,0.0454472117126,-0.171606346965,-0.0560149103403,0.0136050954461,0.0309332311153,-0.0292595829815,-0.0367356874049,0.251467704773,0.0318388007581,-0.19469769299,0.0840861871839,0.00891389604658,0.229102447629,0.299790173769,-0.000651406939141,0.0467465780675,-0.0767208337784,0.0840151011944,-0.22711199522,-0.00278349034488,0.167269840837,0.0671257302165,0.0748105123639,0.00132381124422,-0.0703656226397,-0.0610504969954,0.115877538919,-0.0907933712006,0.0281204935163,0.102043703198,-0.131925091147,-0.0198501348495,-0.0326465032995,0.135029643774,0.0825639441609,-0.148176655173,-0.199815526605,0.0476350784302,-0.108417347074,-0.100509114563,0.0364106670022,-0.15034173429,-0.083251491189,-0.360396832228,-0.0103766359389,0.401827722788,0.0447379909456,-0.171591520309,0.0235097501427,-0.143996179104,0.0119125507772,0.0859312936664,0.105559870601,-0.0600009523332,-0.00123110972345,-0.0399331487715,0.00662785116583,0.179757326841,-0.043176472187,-0.110831074417,0.195248752832,-0.0396028719842,0.113683141768,-0.0157843120396,0.0798054412007,-0.0448512658477,0.0145300999284,-0.111389666796,-0.00329553335905,0.00688244402409,-0.0497202314436,0.0674935802817,0.133499860764,-0.180781245232,0.191846415401,-0.0164893064648,0.097038321197,0.101112477481,0.0445400252938,-0.0672241225839,-0.0106798522174,0.13021582365,-0.256622850895,0.188578784466,0.269293487072,-0.0028156763874,0.0542383827269,0.162272885442,0.0781945884228,-0.0107541941106,0.104407638311,-0.15044644475,-0.0613976307213,-0.0113462051377,0.0479400642216,0.0804817527533,0.0358983725309
kzc-wjb,溫家乾,-0.0522124730051,0.104105204344,0.0753380507231,-0.0223772078753,-0.0566495805979,-0.0111293550581,-0.0233542378992,-0.170087516308,0.0735793188214,-0.0293024666607,0.231458857656,-0.0497267283499,-0.197718888521,-0.0759438574314,-0.0623511150479,0.144994586706,-0.202785864472,-0.107859097421,-0.146905884147,-0.016647676006,0.0113842841238,-0.0161853116006,0.0377883538604,-0.0223980806768,-0.0699088796973,-0.323561429977,-0.078016243875,-0.123844578862,0.0710066556931,-0.0576698295772,-0.0894658714533,0.0005680496688,-0.179445847869,-0.0705076977611,0.03723327443,0.0463581606746,-0.0633157342672,-0.0552237853408,0.232002288103,0.0223111342639,-0.214489504695,0.0462940260768,0.079586610198,0.223486915231,0.312248617411,0.0404109321535,-0.00706788152456,-0.086203597486,0.159219250083,-0.224743008614,0.0894434154034,0.173900768161,0.0935720354319,0.101353779435,0.0193976704031,-0.0416391603649,0.0285099316388,0.104913070798,-0.145842045546,0.0139969680458,0.176105856895,-0.129507213831,-0.0465222410858,0.0190850645304,0.152610421181,0.0957950353622,-0.0898799076676,-0.159969002008,0.0924115478992,-0.161032423377,-0.0857164487243,-0.000548178330064,-0.139389038086,-0.10837250948,-0.301249951124,0.0358020067215,0.458217859268,0.0893638432026,-0.132662832737,0.0348448827863,-0.112305775285,-0.0496374890208,0.159848585725,0.0783109813929,-0.0357111468911,-0.0368224531412,-0.0855022966862,0.0164750423282,0.213396772742,-0.0690496191382,-0.00359518406913,0.203285768628,-0.0507548265159,0.0379201509058,0.0296399928629,0.0585770718753,-0.0603116415441,0.0324338972569,-0.107474118471,-0.0213784556836,0.0573557242751,-0.0258580036461,0.0451013073325,0.0891937986016,-0.161920800805,0.0902502462268,-0.0116552803665,0.0770698860288,0.100831434131,-0.101884119213,-0.0741633474827,-0.0643412917852,0.137173399329,-0.195102781057,0.197661414742,0.15870217979,0.00492033082992,0.0126488450915,0.137125998735,0.0398388430476,0.0219864491373,0.000544430688024,-0.211467817426,-0.0379433631897,0.0690112262964,0.0477072820067,0.0473603159189,0.0038592191413
ljl,林志玲,-0.0694189220667,0.0923409461975,0.097198754549,-0.0294239129871,-0.104256041348,-0.00959455687553,-0.155520260334,-0.146838217974,0.109196595848,-0.102435186505,0.237409964204,-0.104618035257,-0.18959453702,-0.0599124059081,-0.104779466987,0.24612095952,-0.137274295092,-0.1755874753,-0.0127325281501,0.0456934161484,0.156606942415,-0.013497329317,0.0363221801817,0.0795489028096,-0.111560642719,-0.367671072483,-0.0733143985271,-0.0423757620156,-0.0446940362453,-0.0822491273284,-0.0141040151939,-0.00726944068447,-0.1708727777,0.0284048076719,0.0561494156718,0.0931407809258,0.0445898957551,-0.172691047192,0.161098912358,-0.0293253362179,-0.366802215576,0.0324065536261,0.114519812167,0.17677949369,0.160583481193,-0.0370213761926,0.0233302600682,-0.142261877656,0.145342454314,-0.169956684113,0.0278142504394,0.111145146191,0.105500549078,0.0115859219804,0.0247492305934,-0.169109791517,0.0235578101128,0.156915947795,-0.139524281025,-0.0117801455781,0.0468334704638,-0.0745059326291,0.0105339130387,-0.102957464755,0.138699099422,0.15077470243,-0.0995664298534,-0.274148076773,0.0993266105652,-0.135496363044,-0.0520705282688,0.10087390244,-0.156488388777,-0.205729305744,-0.29200977087,-0.0455594919622,0.35788834095,0.0654822289944,-0.27076536417,0.0468797497451,0.0342522934079,0.0318480953574,0.0550521723926,0.234780550003,0.061812505126,0.0815607607365,-0.130158230662,-0.0579085946083,0.24019291997,-0.0999132841825,0.00735875498503,0.26413244009,-0.0276681929827,0.0304167196155,0.024970067665,0.0466651208699,-0.139365524054,0.0765578970313,-0.147153377533,-0.0602440200746,-0.0443338900805,0.0604663789272,-0.0134689677507,0.080249324441,-0.159061059356,0.0790274515748,-0.0366991721094,0.012304302305,0.00061306823045,0.0064008324407,-0.0357912294567,-0.100042931736,0.108516439795,-0.167272776365,0.134702816606,0.146916180849,0.128468111157,0.12000015378,0.149465590715,0.10712672025,0.0608024001122,-0.0106586283073,-0.174070820212,0.019662225619,0.0438943356276,-0.0803345888853,0.00399203132838,-0.0218476876616
